,,,,,,,,
,"Tools Pre / Post qualification
(Tick relevant)",,,,,,,
,Date:,,Part No.DF181098,,Desc:M5XL TRUSS HEAD SCREW,,,
,M/c:,CH-5L,Shift:,,Operator:,,,
,Cut off station,,,,,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,Quill,Bore,4.50 - 4.52,,Cutter,Bore,4.55-4.57,
,,Cutting edge,No damage,,,Cutting edge,No damage,
,Die side,,,,Punch  side,,,
,Parameters,,Spec.,Actual,Parameters,,Spec.,Actual
,I Station,,,,,,,
,1st Bore,,4.40-4.41,,Punch Id,,4.50-4.51,
,OAL,,79.90-80.10,,Punch Pin Dia,,4.45-4.56,
,,,,,Punch Pin Length,,32.90-33.10,
,,,,,Mouth Dia,,9.00.9.10,
,,,,,Step Bore,,5.70-5.80,
,II Station,,,,,,,
,1st Bore,,4.40-4.41,,Punch Mouth Dia,,11.20-11.80,
,OAL,,79.90-80.10,,Punch Depth,,2.95-3.25,
,,,,,Punch Profile Radius,,R7.7 Ref,
,,,,,,,,
,,,,,,,,
,General ( Common for all stations),,,,,,,
,Visual:,,No damage,,Heading Insert Fit,,0.13-0.15,
,Tightness,,No loose,,,,,
,K.O Pin movement,,Free Movement,,,,,
,Inspected by:                                                            Verified by:                                        Approved by:,,,,,,,
,Note:,For punch side parameters to be filled based on part no.,,,,,,
,,,,,,,,Format No: FT/TR/23
